Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B01045,CAPRICE CAR SERVICE NO.2 INC.,,2017,4,April,"4,189",0,27
B02856,MARIACHI CAR SERVICE INC,,2017,6,June,"2,445",0,10
B00009,T-D MAINTENANCE,FOUR ONES CAR SERVICE,2017,4,April,"4,655",0,26
B02157,REAGAN CONVEYANCE  CORP.,DELUX TRANSPORTATION SERVICES,2020,2,February,"4,972",0,163
B02228,SPECIAL RADIO DISP.CORP.,,2016,3,March,132,0,19
B02228,SPECIAL RADIO DISP.CORP.,,2021,3,March,3,0,1
B02594,FENIX MOBILE DISPATCHERS LTD,,2021,8,August,950,0,6
B02569,LAPUMA GO GREEN LLC,GO GREENRIDE,2017,10,October,446,0,19
B02922,"HY'S LIVERY SERVICE,INC.",,2017,1,January,59,0,13
B02505,TRELAWNY CAR SERVICE INC,,2018,8,August,"2,642",0,11
B02111,HUANG HOU CAR SERVICES INC.,HUANG HOU CAR SERVICES INC.,2016,10,October,"30,273",0,119
B00171,CURB TRANSPORTATION SERVICES LLC.,,2021,9,September,"2,472",0,33
B01148,EVELYN CAR SERVICE INC,,2018,10,October,"1,526",0,10
B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",,2016,9,September,"1,338",0,52
B00531,"FRIENDLY BEST-WAY TRANSPORTATION, INC.",,2021,3,March,"3,554",0,18
B02674,ELAL CAR LIMO SERVICE LLC,FIFTH AVENUE CAR LIMO SERVICE,2019,11,November,"3,103",0,12
B02913,DAT TRANSPORTATION INC.,,2017,12,December,153,0,11
B02747,LEGEND LUXURY LIMO INC.,,2018,10,October,"3,946",0,47
B02061,ROYAL COACHMAN LTD.,,2016,8,August,237,0,19
B00271,UTOG 2-WAY RADIO INC,UTOG CORPORATE CAR SERVICE,2018,10,October,"10,722",0,164
B02563,FENIX XL CAR AND LIMO SERVICE CORP.,,2019,11,November,"15,218",0,66
B02912,FIRST CLASS LUXURY INC,,2021,9,September,877,0,7
B01764,QUICK RIDE CORP.,,2019,1,January,473,0,10
B01663,CIBAO RADIO DISPATCH,,2021,8,August,"1,183",0,11
B03092,USA LIMOUSINE SERVICE CORP,VPZ EXECUTIVE LIMO,2019,10,October,"1,298",0,17
B01056,UNITY CAR & LIMO INC.,,2017,10,October,"1,224",0,11
B02687,ECO RIDE INC.,ELECTRIC BLUE CAR SERVICE,2019,5,May,"1,881",0,10
B01009,UNITED LIMO C/M SVC CORP,,2016,11,November,"1,459",0,13
B01285,UNION RADIO DISPATCH INC,,2021,6,June,"6,670",0,37
B01479,PRATT CAR SERVICE INC,,2019,10,October,361,0,2
B02868,CHA CHA TRANSPORTATION CORP,,2018,5,May,482,0,6
B01964,"GOLDEN TOUCH TRANSPORTATION OF NY, INC.",ECAR NEW YORK,2016,6,June,"3,541",0,56
B02881,DIANE CAR AND LIMO SERVICE LLC,,2020,9,September,"3,486",0,20
B00318,APPLE RADIO CARS INC,,2017,2,February,"5,976",0,43
B01128,PAK-EAGLE INC.,JEWEL CAR SERVICE,2019,11,November,947,0,4
B02797,CJ LIMOUSINE LLC,,2017,4,April,448,0,13
B01183,ODYSSEY GLOBAL TRANSPORTATION & LIMO LLC.,,2018,10,October,"1,217",0,25
B00888,ACE C/L SVCE INC,,2017,1,January,"1,647",0,45
B03050,"TORINKO NY, LLC",,2021,6,June,69,0,8
B00337,KEW GARDENS ENTERPRISES INC.,,2019,10,October,"2,007",0,9
LYFT,LYFT,LYFT,2020,9,September,"3,116,906",0,"31,613"
B02461,NEW HEAVEN RADIO DISPATCH CORP,,2020,8,August,"3,100",0,33
B01336,BAY EXPRESS CORP.,,2017,9,September,"3,982",0,25
B03014,AMBULAR LLC,,2018,8,August,"2,670",0,18
B02285,"VALERA GLOBAL, INC.",,2018,6,June,"3,426",0,76
B02774,ALFRED HOLDINGS INC.,ALFRED EXECUTIVE TRANSPORTATION,2019,10,October,152,0,11
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2017,12,December,"18,741",0,69
B02127,"CONTINENTAL RIDE, INC.",I + I TRANSPORTATION,2021,7,July,54,0,5
B02508,"DISPATCH CENTRAL, INC.",,2016,5,May,70,0,10
B03018,AUREUS LLC,JAVA CAR & LIMOUSINE SERVICE,2017,7,July,201,0,12
B01362,AMERICAN BASE NO.1 INC.,,2020,12,December,"2,399",0,19
B03048,ATLANTIS TRANSPORTATION SERVICES INC,,2018,3,March,"2,221",0,18
B03094,"JBE LIMO, INC",,2019,10,October,48,0,6
B03107,JD XPRESS INC.,,2021,6,June,548,0,6
B02229,NEW FAT INC.,ELEGANTE,2016,11,November,"4,299",0,34
B02026,A RIDE FOR ALL LLC,,2019,9,September,41,0,1
B00235,"ARISTACAR & LIMOUSINE, LTD.",,2021,9,September,476,0,8
B02901,GALLANT LUXURY SERVICE CORP.,,2019,3,March,"1,320",0,11
B02406,MY SEDAN LLC,,2017,3,March,617,0,14
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,2017,9,September,"28,810",0,597
B00208,ERNEST SCHWARZ INC,,2016,4,April,245,0,6
B01854,EUROPE LIMOUSINE SERVICE INC,,2020,6,June,786,0,31
B01777,PREMIUM RADIO DISP & MULTI SVC,,2021,6,June,"1,544",0,35
B01349,CAPRICORN LIMO SVC INC,,2021,6,June,305,0,8
B01843,"VINCENT'S LIMOUSINE SERVICE OF NEW YORK, INC.",VINCENT LIMOUSINE,2018,6,June,10,0,1
B00221,PROFESSIONAL CAR SERVICE INC,,2016,8,August,"5,539",0,181
B02962,"HEALTH BLACK CAR SERVICES, CORP",ADON,2020,3,March,"1,232",0,22
B01088,PAISA 2 CAR  AND LIMOUSINE SERVICE INC,,2016,4,April,77,0,4
B02838,THA MAYA CAR SERVICE INC,,2018,9,September,574,0,11
B00628,"CONCORD LIMOUSINE 1, LLC",,2015,5,May,"18,886",0,363
B01653,ART'S PLACE INC.,ON TIME CAR SERVICE,2020,3,March,320,0,7
B02369,UNICAR LUXURY INC.,,2018,1,January,2,0,1
B00419,KOOP DISPATCHING INC.,,2020,1,January,276,0,4
B00412,NYC 2 WAY INTERNATIONAL LTD,NYC TWO WAY INC.,2017,9,September,"8,866",0,114
B02107,APOLLO RADIO DISPATCH INC.,,2020,5,May,"4,914",0,39
B03284,MYLE WORLDWIDE INC,,2020,7,July,105,0,80
B01069,RPO CAR AND LIMOUSINE SERVICE INC.,,2017,6,June,"2,071",0,15
B01087,ELITE LIMO PLUS INC,,2015,1,January,"16,738",0,300
B02453,MCW CAR & LIMO INC.,,2015,7,July,688,0,14
B02522,CHAUFFEURED EXECUTIVE TRANSPORTATION LLC,,2016,6,June,"1,524",0,64
B00013,LOVE CORPORATE CAR INC,,2019,10,October,"3,195",0,92
B00888,ACE C/L SVCE INC,,2019,6,June,"1,186",0,33
B02826,NEW BELL LUXURY CORP,,2019,2,February,"4,832",0,35
B02254,"FINESSE GROUP LIMOUSINE,INC.",,2016,5,May,976,0,6
B00889,MEXICANA CAR SERVICE INC.,,2021,3,March,"3,449",0,15
B00001,LONDON TOWNCARS INC,,2019,10,October,"1,221",0,25
B03085,A & A AMAZOON TRANSPORTATION INC.,,2020,7,July,77,0,32
B01128,PAK-EAGLE INC.,JEWEL CAR SERVICE,2018,7,July,"1,624",0,5
B02569,LAPUMA GO GREEN LLC,GO GREENRIDE,2015,12,December,"2,679",0,34
B02671,COMMUNITY CAR SERVICE PRISCILLA CORP,,2018,5,May,"11,130",0,56
B01601,YOURS CAR SERVICE INC,,2018,12,December,"3,186",0,10
B02968,NEW GENERATION BLACK CAR TRANSPORTATION CORP.,,2020,11,November,"5,058",0,27
B00225,DELANCEY TRANSPORTATION INC.,,2015,5,May,"24,807",0,129
B01392,NEW AMERICAN CLASS L/C SERVICE CORP.,,2019,12,December,483,0,6
B01452,AREAS TRANSP INC,,2015,11,November,"4,539",0,17
B00225,DELANCEY TRANSPORTATION INC.,,2021,3,March,"9,261",0,79
B02825,GUADALUPANA II CAR & LIMO INC,,2021,6,June,443,0,16
B00009,T-D MAINTENANCE,FOUR ONES CAR SERVICE,2016,2,February,"4,516",0,30
B01741,MONACO LIMO & CAR SERVICES INC.,,2016,10,October,"2,638",0,103
B03084,PERSIST CORPORATION,,2020,2,February,122,0,6
B02848,V R WORLDWIDE INC,,2019,4,April,52,0,2
B01259,THE NEW BROOKLYN C/S INC,,2018,4,April,"15,566",0,57
B01445,J T TRANS CO INC,,2017,10,October,316,0,55
B00692,"CHEERS DISPATCH,INC.",SEVENTH AVE CAR SERVICE,2021,9,September,"1,622",0,8
B01675,"TOWNCAR TRANSPORTATION, INC.",NEW TOPACIO CAR SERVICE,2015,9,September,"2,474",0,11
B02719,"49 WESTCHESTER SQUARE PRESTIGE CAR SERVICE, CORP.",,2019,11,November,"1,419",0,19
B01263,"RACHEL'S CAR SERVICE,INC.",,2017,12,December,"7,828",0,22
B01437,MERENGUE LIMO & C/S INC,,2018,3,March,"11,912",0,48
B00280,FLEET RADIO DISPATCH CORP.,MINUTEMEN,2018,9,September,"2,858",0,66
B03008,CROWN CAR & LIMO SERVICE INC.,,2018,6,June,89,0,7
B02111,HUANG HOU CAR SERVICES INC.,HUANG HOU CAR SERVICES INC.,2016,1,January,"28,845",0,126
B01663,CIBAO RADIO DISPATCH,,2018,6,June,"8,691",0,48
B02770,"CAVALIER CAR & LIMOUSINE, INC.",,2019,9,September,425,0,9
B02093,V.J. CAR & LIMO SVC INC.,,2015,10,October,"1,653",0,6
B02110,"OPTIMUM CAR & LIMO, INC.",,2016,6,June,"1,833",0,8
B00031,QUEENS VILLAGE INC.,,2017,5,May,"1,845",0,10
B00235,"ARISTACAR & LIMOUSINE, LTD.",,2018,2,February,"1,448",0,32
B03202,JUPITER SELECT LLC,,2019,10,October,316,0,9
B01485,FLAMINGO TRANSP. & LIMO. SERVICES INC.,,2018,8,August,"9,938",0,44
B00008,T-D MAINTENANCE CORP,FOUR ONES CAR SERVICE,2017,7,July,"1,068",0,29
B01979,DREAMLAND CAR & LIMO.SVC INC.,,2018,2,February,"3,223",0,22
B00906,OLYMPIA OPERATING CAR SERVICE OF NY CORP.,,2020,5,May,317,0,2
