Base Name,2015,2016,2017,2018,2019,2020,2021,Total
Hillside 24 Hours Radio Dispatch Inc,20221,13576,15918,14430,3810,0,0,67955.0
Zpi Corporation,0,21780,21076,11477,8255,3304,2012,67904.0
Odyssey Global Transportation & Limo Llc.,6236,11497,14492,13975,12427,6244,2841,67712.0
Prime Time Trans. Inc,6596,18695,15816,12542,8974,3389,1362,67374.0
Unity Car & Limo Inc.,0,13166,45792,8069,0,0,0,67027.0
"Paris Limousine Service, Corp",6295,13383,13740,16554,14297,1021,1081,66371.0
Special Radio Disp.Corp.,12350,20810,20251,12607,251,32,30,66331.0
"Aristacar & Limousine, Ltd.",6313,10284,18366,12553,2705,7406,8108,65735.0
Tremont Dispatching Corp,8222,9352,11978,17709,10762,6407,1265,65695.0
Empire Transportation Service Inc.,9195,0,13929,15959,15786,7701,2693,65263.0
Merrick C/S Inc,4172,10858,16113,15369,12119,5318,1180,65129.0
"Luxury Worldwide Transportation, Llc",16304,1613,12447,15793,10174,5057,3241,64629.0
New American C/L Svc,6004,8324,15786,11636,9767,7340,5622,64479.0
Raja Car & Limousine Service Inc.,26963,16413,17827,3174,0,0,0,64377.0
Koop Dispatching Inc.,7849,2177,9631,6499,18845,14602,4557,64160.0
All People Car Service Inc.,1,19884,25117,7295,7123,3190,1307,63917.0
Kew Gardens Enterprises Inc.,51,2240,13786,26312,16248,4259,0,62896.0
Bqn Voucher Inc,0,0,3101,19081,19970,10551,9731,62434.0
J.I.G. Transport Corp.,10040,12364,9310,12202,12630,5565,33,62144.0
White Top Car Svce Inc,0,0,0,0,0,14817,45148,59965.0
Ascona Car Service Inc.,742,2479,8514,19079,9741,10176,7952,58683.0
First Class Of New York Inc.,17029,15386,8750,9953,4265,2205,0,57588.0
United Limo C/M Svc Corp,10453,17116,11263,4754,4490,3251,6175,57502.0
Bba Management Inc.,4411,10841,7690,8602,9704,10561,5688,57497.0
"Gemini Global Transportation,Llc.",5146,51077,0,0,0,0,0,56223.0
Washington Rad Disp Inc,29837,26097,0,0,0,0,0,55934.0
Jpan Transportation Inc,8653,16123,7763,6500,9785,3174,3167,55165.0
Charge And Ride Inc,10813,9399,11227,10251,8102,3680,1602,55074.0
5J Transportation Inc.,0,0,5512,17250,14589,10418,6289,54058.0
